name,url,status,last_activity,notes
ANZ_Retail,https://github.com/TML-4PM/ANZ_Retail,archived,unknown,"No matching Vercel project found in first 50 Vercel projects; archived repo"
EUC2,https://github.com/TML-4PM/EUC2,archived,unknown,"No matching Vercel project found in first 50 Vercel projects; archived repo"
euc-calculator,https://github.com/TML-4PM/euc-calculator,archived,unknown,"No matching Vercel project found in first 50 Vercel projects; archived repo"
euc-job-pricing-calculator,https://github.com/TML-4PM/euc-job-pricing-calculator,archived,unknown,"No matching Vercel project found in first 50 Vercel projects; archived repo"
geeks2u-calculator,https://github.com/TML-4PM/geeks2u-calculator,archived,unknown,"No matching Vercel project found in first 50 Vercel projects; archived repo"
geeks2u-calculator-killedme,https://github.com/TML-4PM/geeks2u-calculator-killedme,archived,unknown,"No matching Vercel project found in first 50 Vercel projects; archived repo"
oldbecomesnew,https://github.com/TML-4PM/oldbecomesnew,archived,unknown,"No matching Vercel project found in first 50 Vercel projects; archived repo"
whydididothis,https://github.com/TML-4PM/whydididothis,archived,unknown,"No matching Vercel project found in first 50 Vercel projects; archived repo"
last-chance-bingo,https://github.com/TML-4PM/last-chance-bingo,active,unknown,"No matching Vercel project found in first 50 Vercel projects"
TML-G2U-50,https://github.com/TML-4PM/TML-G2U-50,archived,unknown,"No matching Vercel project found in first 50 Vercel projects; archived repo"
